,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador1_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/823130?guid=1652464981434&returnUrl=%2fresultado%2flistar%3fguid%3d1652464981434%26quantidadePaginas%3d1%26codigoRegistro%3d823130%23823130&i=1,orcid.org/0000-0002-6540-8686,sem orcid,sem orcid,sem orcid,orcid.org/0000-0002-4830-5298,University of Campinas,40,sem orcid,sem orcid,sem orcid,sem orcid,Paulo de Geus,Brazil,Computer Security,,,,sem orcid,sem orcid,,,Universidade Estadual de Campinas,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,sem orcid,,,,,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design
41,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/794996?guid=1652465134556&returnUrl=%2fresultado%2flistar%3fguid%3d1652465134556%26quantidadePaginas%3d1%26codigoRegistro%3d794996%23794996&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0002-6750-5965,sem orcid,orcid.org/0000-0002-9707-799X,Universidade Estadual de Campinas,41,Pontifícia Universidade Católica do Rio de Janeiro,sem orcid,Laura Sánchez García,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,sem orcid,sem orcid,,,Universidade Estadual de Campinas (UNICAMP),sem orcid,José Mario De Martino,no info,sem orcid,sem orcid,,,,,,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/802958?guid=1652465240231&returnUrl=%2fresultado%2flistar%3fguid%3d1652465240231%26quantidadePaginas%3d1%26codigoRegistro%3d802958%23802958&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0002-1180-2637,sem orcid,no info,42,sem orcid,sem orcid,sem orcid,sem orcid,Jacques Wainer,Brazil,,,,,sem orcid,sem orcid,,,sem orcid,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,,,,,,,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/804652?guid=1652465310362&returnUrl=%2fresultado%2flistar%3fguid%3d1652465310362%26quantidadePaginas%3d1%26codigoRegistro%3d804652%23804652&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-2075-3363,sem orcid,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-6023-5982,Universidade Estadual de Campinas,43,sem orcid,Universidade Federal de Minas Gerais,sem orcid,sem orcid,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,Marcos André Gonçalves,no info,,,University of Campinas,Universidade Estadual de Campinas,Islene Calciolari Garcia,no info,André Santanchè,no info,,,,,data science,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/837095?guid=1652465387678&returnUrl=%2fresultado%2flistar%3fguid%3d1652465387678%26quantidadePaginas%3d1%26codigoRegistro%3d837095%23837095&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-3139-6266,orcid.org/0000-0002-0796-3868,orcid.org/0000-0002-1914-5790,orcid.org/0000-0001-6030-2682,no info,44,Instituto Nacional de Pesquisas Espaciais,no info,Fátima Mattiello-Francisco,Brazil,Eliane Martins,no info,,,,,Silvia Vergilio,no info,Space engineering,,University of Campinas,no info,Eduardo C. Xavier,Brazil,Mario Jino,no info, Verification and Validation,  operation concept,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/818405?guid=1652465449608&returnUrl=%2fresultado%2flistar%3fguid%3d1652465449608%26quantidadePaginas%3d1%26codigoRegistro%3d818405%23818405&i=1,sem orcid,sem orcid,sem orcid,sem orcid,orcid.org/0000-0002-1180-2637,sem orcid,45,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,sem orcid,sem orcid,,,UNICAMP - University of Campinas,sem orcid,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,,,,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/822638?guid=1652465516035&returnUrl=%2fresultado%2flistar%3fguid%3d1652465516035%26quantidadePaginas%3d1%26codigoRegistro%3d822638%23822638&i=3,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-7002-875X,,sem orcid,46,no info,sem orcid,Julio Cesar Lopez Hernandez,Mexico,sem orcid,sem orcid,,,,,sem orcid,sem orcid,,,,University of Campinas,,,Ricardo Dahab,Brazil,,,,,,Cryptography, Graph Theory,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/840446?guid=1652465558961&returnUrl=%2fresultado%2flistar%3fguid%3d1652465558961%26quantidadePaginas%3d1%26codigoRegistro%3d840446%23840446&i=1,sem orcid,sem orcid,sem orcid,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-4462-3325,sem orcid,47,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,,,,sem orcid,sem orcid,,,University of Campinas,no info,Orlando Lee,no info,Flávio K. Miyazawa,no info,,,,,,,,,,,,
48,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/837115?guid=1652465599969&returnUrl=%2fresultado%2flistar%3fguid%3d1652465599969%26quantidadePaginas%3d1%26codigoRegistro%3d837115%23837115&i=1,orcid.org/0000-0002-6731-1482,sem orcid,sem orcid,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-7002-875X,no info,48,sem orcid,sem orcid,sem orcid,sem orcid,Julio Cesar Lopez Hernandez,Mexico,,,,,sem orcid,sem orcid,,,University of Campinas,University of Campinas,Ricardo Dahab,Brazil,Marco A. Amaral Henriques,no info,,,,,,,,,Cryptography, Graph Theory,,
49,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/862508?guid=1652465739949&returnUrl=%2fresultado%2flistar%3fguid%3d1652465739949%26quantidadePaginas%3d1%26codigoRegistro%3d862508%23862508&i=1,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-9384-8347,sem orcid,Universidade Estadual de Campinas,49,sem orcid,UNICAMP,sem orcid,sem orcid,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,Rodolfo Azevedo,Brazil,,,sem orcid,Universidade Federal de Santa Catarina,sem orcid,sem orcid,Luiz C. V. dos Santos,Brazil,,,,,,,,,,,,
50,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/974430?guid=1652465774396&returnUrl=%2fresultado%2flistar%3fguid%3d1652465774396%26quantidadePaginas%3d1%26codigoRegistro%3d974430%23974430&i=1,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-3219-8061,University of Campinas,50,sem orcid,sem orcid,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,sem orcid,sem orcid,,,no info,no info,"Reginaldo, Jr Palazzo",no info,Julio Cesar Lopez Hernandez,Mexico,,,,,,,,,,,,
51,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/846099?guid=1652465819311&returnUrl=%2fresultado%2flistar%3fguid%3d1652465819311%26quantidadePaginas%3d1%26codigoRegistro%3d846099%23846099&i=1,orcid.org/0000-0001-9772-263X,sem orcid,sem orcid,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-1783-4231,Universidade Estadual de Campinas,51,sem orcid,sem orcid,sem orcid,sem orcid,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,sem orcid,sem orcid,,,Universidade Estadual de Campinas,University of Campinas,Edson Borin,no info,Helio Pedrini,Brazil,,,,,data science,image and video processing; machine learning; computer vision,,,,,,
