tipo,url
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/983576?guid=1652566278575&returnUrl=%2fresultado%2flistar%3fguid%3d1652566278575%26quantidadePaginas%3d1%26codigoRegistro%3d983576%23983576&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987504?guid=1652566312160&returnUrl=%2fresultado%2flistar%3fguid%3d1652566312160%26quantidadePaginas%3d1%26codigoRegistro%3d987504%23987504&i=4
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/986056?guid=1652566347261&returnUrl=%2fresultado%2flistar%3fguid%3d1652566347261%26quantidadePaginas%3d1%26codigoRegistro%3d986056%23986056&i=2
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987173?guid=1652566377947&returnUrl=%2fresultado%2flistar%3fguid%3d1652566377947%26quantidadePaginas%3d1%26codigoRegistro%3d987173%23987173&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/989942?guid=1652566414804&returnUrl=%2fresultado%2flistar%3fguid%3d1652566414804%26quantidadePaginas%3d1%26codigoRegistro%3d989942%23989942&i=2
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/987776?guid=1652566446874&returnUrl=%2fresultado%2flistar%3fguid%3d1652566446874%26quantidadePaginas%3d1%26codigoRegistro%3d987776%23987776&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/990921?guid=1652566487403&returnUrl=%2fresultado%2flistar%3fguid%3d1652566487403%26quantidadePaginas%3d1%26codigoRegistro%3d990921%23990921&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/989599?guid=1652566523625&returnUrl=%2fresultado%2flistar%3fguid%3d1652566523625%26quantidadePaginas%3d1%26codigoRegistro%3d989599%23989599&i=3
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/990267?guid=1652566555354&returnUrl=%2fresultado%2flistar%3fguid%3d1652566555354%26quantidadePaginas%3d1%26codigoRegistro%3d990267%23990267&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/991387?guid=1652566599126&returnUrl=%2fresultado%2flistar%3fguid%3d1652566599126%26quantidadePaginas%3d1%26codigoRegistro%3d991387%23991387&i=2
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1045278?guid=1652566637103&returnUrl=%2fresultado%2flistar%3fguid%3d1652566637103%26quantidadePaginas%3d1%26codigoRegistro%3d1045278%231045278&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/991785?guid=1652566669444&returnUrl=%2fresultado%2flistar%3fguid%3d1652566669444%26quantidadePaginas%3d1%26codigoRegistro%3d991785%23991785&i=1
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/993696?guid=1652566707899&returnUrl=%2fresultado%2flistar%3fguid%3d1652566707899%26quantidadePaginas%3d1%26codigoRegistro%3d993696%23993696&i=3
