tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918796?guid=1652478360390&returnUrl=%2fresultado%2flistar%3fguid%3d1652478360390%26quantidadePaginas%3d1%26codigoRegistro%3d918796%23918796&i=1,orcid.org/0000-0003-4237-4281,sem orcid,orcid.org/0000-0002-8340-4881,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918322?guid=1652478397788&returnUrl=%2fresultado%2flistar%3fguid%3d1652478397788%26quantidadePaginas%3d1%26codigoRegistro%3d918322%23918322&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-0375-1657,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926549?guid=1652478425582&returnUrl=%2fresultado%2flistar%3fguid%3d1652478425582%26quantidadePaginas%3d1%26codigoRegistro%3d926549%23926549&i=7,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0003-1908-4753,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932085?guid=1652478460861&returnUrl=%2fresultado%2flistar%3fguid%3d1652478460861%26quantidadePaginas%3d1%26codigoRegistro%3d932085%23932085&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0001-6305-9059,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/927706?guid=1652478503210&returnUrl=%2fresultado%2flistar%3fguid%3d1652478503210%26quantidadePaginas%3d1%26codigoRegistro%3d927706%23927706&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0009-0000-2453-6617,orcid.org/0000-0003-0683-7672,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918763?guid=1652478560120&returnUrl=%2fresultado%2flistar%3fguid%3d1652478560120%26quantidadePaginas%3d1%26codigoRegistro%3d918763%23918763&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-3372-3366,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926578?guid=1652478599968&returnUrl=%2fresultado%2flistar%3fguid%3d1652478599968%26quantidadePaginas%3d1%26codigoRegistro%3d926578%23926578&i=1,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-3589-1619,orcid.org/0000-0001-5396-9868,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926557?guid=1652478646036&returnUrl=%2fresultado%2flistar%3fguid%3d1652478646036%26quantidadePaginas%3d1%26codigoRegistro%3d926557%23926557&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0001-8309-6367,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/927711?guid=1652478690927&returnUrl=%2fresultado%2flistar%3fguid%3d1652478690927%26quantidadePaginas%3d1%26codigoRegistro%3d927711%23927711&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-1908-4753,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/934657?guid=1652478732964&returnUrl=%2fresultado%2flistar%3fguid%3d1652478732964%26quantidadePaginas%3d1%26codigoRegistro%3d934657%23934657&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7789-3359,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/906917?guid=1652478759263&returnUrl=%2fresultado%2flistar%3fguid%3d1652478759263%26quantidadePaginas%3d1%26codigoRegistro%3d906917%23906917&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-3527-6870,orcid.org/0000-0001-6822-931X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/914760?guid=1652478919646&returnUrl=%2fresultado%2flistar%3fguid%3d1652478919646%26quantidadePaginas%3d1%26codigoRegistro%3d914760%23914760&i=19,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-1449-8834,orcid.org/0000-0001-5685-8004,sem orcid
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/910347?guid=1652478965555&returnUrl=%2fresultado%2flistar%3fguid%3d1652478965555%26quantidadePaginas%3d1%26codigoRegistro%3d910347%23910347&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-8405-2152,sem orcid,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-4290-6508
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/911619?guid=1652479015818&returnUrl=%2fresultado%2flistar%3fguid%3d1652479015818%26quantidadePaginas%3d1%26codigoRegistro%3d911619%23911619&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7959-6569,orcid.org/0000-0001-8956-8660,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-8603-699X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/912188?guid=1652479050025&returnUrl=%2fresultado%2flistar%3fguid%3d1652479050025%26quantidadePaginas%3d1%26codigoRegistro%3d912188%23912188&i=4,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-5660-6488,sem orcid,orcid.org/0000-0002-6023-5982,orcid.org/0000-0003-2046-602X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/914939?guid=1652479088303&returnUrl=%2fresultado%2flistar%3fguid%3d1652479088303%26quantidadePaginas%3d1%26codigoRegistro%3d914939%23914939&i=4,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5396-9868,sem orcid,orcid.org/0000-0003-0125-630X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/913876?guid=1652479122095&returnUrl=%2fresultado%2flistar%3fguid%3d1652479122095%26quantidadePaginas%3d1%26codigoRegistro%3d913876%23913876&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0001-5683-693X,sem orcid,orcid.org/0000-0003-0683-7672,orcid.org/0000-0003-0125-630X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/919674?guid=1652479152019&returnUrl=%2fresultado%2flistar%3fguid%3d1652479152019%26quantidadePaginas%3d1%26codigoRegistro%3d919674%23919674&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-9206-8138,orcid.org/0000-0001-9892-740X,sem orcid,orcid.org/0000-0001-5685-8004
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/919116?guid=1652479209109&returnUrl=%2fresultado%2flistar%3fguid%3d1652479209109%26quantidadePaginas%3d1%26codigoRegistro%3d919116%23919116&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5396-9868
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918328?guid=1652479231303&returnUrl=%2fresultado%2flistar%3fguid%3d1652479231303%26quantidadePaginas%3d1%26codigoRegistro%3d918328%23918328&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-3372-3366
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918908?guid=1652479262762&returnUrl=%2fresultado%2flistar%3fguid%3d1652479262762%26quantidadePaginas%3d1%26codigoRegistro%3d918908%23918908&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-3948-305X,orcid.org/0000-0002-6946-9670
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/922886?guid=1652479324460&returnUrl=%2fresultado%2flistar%3fguid%3d1652479324460%26quantidadePaginas%3d1%26codigoRegistro%3d922886%23922886&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0001-9625-5259,orcid.org/0000-0001-8309-6367,sem orcid
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918898?guid=1652484161317&returnUrl=%2fresultado%2flistar%3fguid%3d1652484161317%26quantidadePaginas%3d1%26codigoRegistro%3d918898%23918898&i=7,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,sem orcid,orcid.org/0000-0002-3159-4839,orcid.org/0000-0001-5015-2131
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918941?guid=1652484200914&returnUrl=%2fresultado%2flistar%3fguid%3d1652484200914%26quantidadePaginas%3d1%26codigoRegistro%3d918941%23918941&i=1,orcid.org/0000-0002-6731-1482,sem orcid,sem orcid,orcid.org/0000-0001-9241-2229,orcid.org/0000-0002-7002-875X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/918924?guid=1652484253308&returnUrl=%2fresultado%2flistar%3fguid%3d1652484253308%26quantidadePaginas%3d1%26codigoRegistro%3d918924%23918924&i=3,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-9957-5861,orcid.org/0000-0003-1273-9809,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-8803-0401
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/434549?guid=1652484297272&returnUrl=%2fresultado%2flistar%3fguid%3d1652484297272%26quantidadePaginas%3d1%26codigoRegistro%3d434549%23434549&i=5,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-1347-186X,orcid.org/0000-0003-0683-7672,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/922878?guid=1652484356367&returnUrl=%2fresultado%2flistar%3fguid%3d1652484356367%26quantidadePaginas%3d1%26codigoRegistro%3d922878%23922878&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-6750-5965,sem orcid
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/927569?guid=1652484564335&returnUrl=%2fresultado%2flistar%3fguid%3d1652484564335%26quantidadePaginas%3d1%26codigoRegistro%3d927569%23927569&i=4,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-5861-4414,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-8603-699X
