orcid,nome,genero
orcid.org/0000-0002-3948-305X,Reinaldo Morabito,Masculino
orcid.org/0000-0002-4059-8700,Vânia Paula de Almeida Neris,Feminino
orcid.org/0000-0002-4113-7543,Rafael Misoczki,Masculino
orcid.org/0000-0002-4128-5415,Fernando J. Von Zuben,Masculino
orcid.org/0000-0002-4187-8798,Rodrigo Luis de Souza da Silva,Masculino
orcid.org/0000-0002-4231-9621,Claudia Maria Lima Werner,Feminino
orcid.org/0000-0002-4236-8212,Anderson Rocha,Masculino
orcid.org/0000-0002-4248-2744,Heiko Hornung,Masculino
orcid.org/0000-0002-4252-3710,Jair Donadelli,Masculino
orcid.org/0000-0002-4312-202X,Milton Ribeiro,Masculino
orcid.org/0000-0002-4321-9075,Adín Ramírez Rivera,Masculino
orcid.org/0000-0002-4329-6214,Flavio Santos,Masculino
orcid.org/0000-0002-4424-0888,Marisol Marini,Feminino
orcid.org/0000-0002-4515-2521,Hugo Fernando Salinas Fortes Junior,Masculino
orcid.org/0000-0002-4531-1473,Breno Bernard Nicolau de França,Masculino
orcid.org/0000-0002-4534-1250,Nicolas Maillard,Masculino
orcid.org/0000-0002-4607-9880,Maria Teresa Eglér Mantoan,Feminino
orcid.org/0000-0002-4627-9743,Juan Pablo Hourcade,Masculino
orcid.org/0000-0002-4641-0684,Guilherme Palermo Coelho,Masculino
orcid.org/0000-0002-4694-7182,Carla Osthoff,Feminino
orcid.org/0000-0002-4701-2821,FÁBIO FERRENTINI SAMPAIO,Masculino
orcid.org/0000-0002-4711-5783,Claudio R. Jung,Masculino
orcid.org/0000-0002-4763-3046,Ulisses Dias,Masculino
orcid.org/0000-0002-4799-8774,Rosane Minghim,Feminino
orcid.org/0000-0002-4830-5298,Maria Cecilia Calani Baranauskas,Feminino
orcid.org/0000-0002-4851-5228,Maycon Peixoto,Masculino
orcid.org/0000-0002-4865-5896,Daniel Macedo Batista,Masculino
orcid.org/0000-0002-4888-0778,Regina Braga,Feminino
orcid.org/0000-0002-4961-3428,José C. Geromel,Masculino
orcid.org/0000-0002-4984-4832,Jaudete Daltio,Feminino
orcid.org/0000-0002-5017-8320,Gleyce Figueiredo,Feminino
orcid.org/0000-0002-5163-2986,Clarimar Coelho,Masculino
orcid.org/0000-0002-5178-3661,Reinaldo Bergamaschi,Masculino
orcid.org/0000-0002-5193-8643,Omar Branquinho,Masculino
orcid.org/0000-0002-5227-9221,Juliana de Santi,Feminino
orcid.org/0000-0002-5233-7639,Solange Rezende,Feminino
orcid.org/0000-0002-5243-0921,Fernanda Andaló,Feminino
orcid.org/0000-0002-5250-1785,Antonio A. F. Loureiro,Masculino
orcid.org/0000-0002-5259-2859,Cristina G. Fernandes,Feminino
orcid.org/0000-0002-5263-1977,Christiano Lyra Filho,Masculino
