tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/971900?guid=1652563466773&returnUrl=%2fresultado%2flistar%3fguid%3d1652563466773%26quantidadePaginas%3d1%26codigoRegistro%3d971900%23971900&i=2,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-9241-2229,orcid.org/0000-0003-2973-2232,orcid.org/0000-0001-9722-5764,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979323?guid=1652563506083&returnUrl=%2fresultado%2flistar%3fguid%3d1652563506083%26quantidadePaginas%3d1%26codigoRegistro%3d979323%23979323&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-6305-9059,orcid.org/0000-0001-5746-4154,sem orcid,orcid.org/0000-0003-3109-4305,orcid.org/0000-0002-1067-6421
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/977097?guid=1652563542562&returnUrl=%2fresultado%2flistar%3fguid%3d1652563542562%26quantidadePaginas%3d1%26codigoRegistro%3d977097%23977097&i=2,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-4568-8040,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/972970?guid=1652563585136&returnUrl=%2fresultado%2flistar%3fguid%3d1652563585136%26quantidadePaginas%3d1%26codigoRegistro%3d972970%23972970&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-3861-7260,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/973034?guid=1652563634929&returnUrl=%2fresultado%2flistar%3fguid%3d1652563634929%26quantidadePaginas%3d1%26codigoRegistro%3d973034%23973034&i=4,orcid.org/0000-0001-5685-8004,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4248-2744,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976389?guid=1652563660947&returnUrl=%2fresultado%2flistar%3fguid%3d1652563660947%26quantidadePaginas%3d1%26codigoRegistro%3d976389%23976389&i=1,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-7350-8599,sem orcid,sem orcid,orcid.org/0000-0002-1180-2637,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/974513?guid=1652563701116&returnUrl=%2fresultado%2flistar%3fguid%3d1652563701116%26quantidadePaginas%3d1%26codigoRegistro%3d974513%23974513&i=2,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,sem orcid,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-4763-3046,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/974200?guid=1652563751776&returnUrl=%2fresultado%2flistar%3fguid%3d1652563751776%26quantidadePaginas%3d1%26codigoRegistro%3d974200%23974200&i=4,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-2112-4806,orcid.org/0000-0003-1449-8834,orcid.org/0000-0002-5652-0852,orcid.org/0000-0001-9772-263X,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979457?guid=1652563781046&returnUrl=%2fresultado%2flistar%3fguid%3d1652563781046%26quantidadePaginas%3d1%26codigoRegistro%3d979457%23979457&i=4,orcid.org/0000-0001-7878-4990,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-9174-2816,orcid.org/0000-0003-2070-2061,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-8972-080X
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976398?guid=1652563828590&returnUrl=%2fresultado%2flistar%3fguid%3d1652563828590%26quantidadePaginas%3d1%26codigoRegistro%3d976398%23976398&i=1,orcid.org/0000-0002-3159-4839,sem orcid,sem orcid,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-4462-3325,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/976392?guid=1652563866847&returnUrl=%2fresultado%2flistar%3fguid%3d1652563866847%26quantidadePaginas%3d1%26codigoRegistro%3d976392%23976392&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9957-5861,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9539-6874,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/983291?guid=1652563902705&returnUrl=%2fresultado%2flistar%3fguid%3d1652563902705%26quantidadePaginas%3d1%26codigoRegistro%3d983291%23983291&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-3948-305X,orcid.org/0000-0003-3910-8804,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-8972-080X,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979994?guid=1652563940662&returnUrl=%2fresultado%2flistar%3fguid%3d1652563940662%26quantidadePaginas%3d1%26codigoRegistro%3d979994%23979994&i=4,orcid.org/0000-0001-7358-6696,,,,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/978692?guid=1652564002435&returnUrl=%2fresultado%2flistar%3fguid%3d1652564002435%26quantidadePaginas%3d1%26codigoRegistro%3d978692%23978692&i=2,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-8229-3139,orcid.org/0000-0003-2962-2033,orcid.org/0000-0002-8105-3627,orcid.org/0000-0002-1067-6421,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979352?guid=1652564037422&returnUrl=%2fresultado%2flistar%3fguid%3d1652564037422%26quantidadePaginas%3d1%26codigoRegistro%3d979352%23979352&i=2,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-2592-3664,orcid.org/0000-0001-6816-208X,orcid.org/0000-0002-6540-8686,orcid.org/0000-0001-9241-2229,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979636?guid=1652564085184&returnUrl=%2fresultado%2flistar%3fguid%3d1652564085184%26quantidadePaginas%3d1%26codigoRegistro%3d979636%23979636&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-5259-2859,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-8972-080X,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979871?guid=1652564139027&returnUrl=%2fresultado%2flistar%3fguid%3d1652564139027%26quantidadePaginas%3d1%26codigoRegistro%3d979871%23979871&i=1,orcid.org/0000-0002-9539-6874,sem orcid,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-2457-0783,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979360?guid=1652564177800&returnUrl=%2fresultado%2flistar%3fguid%3d1652564177800%26quantidadePaginas%3d1%26codigoRegistro%3d979360%23979360&i=1,orcid.org/0000-0002-6731-1482,orcid.org/0000-0002-7002-875X,sem orcid,sem orcid,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/979996?guid=1652564221660&returnUrl=%2fresultado%2flistar%3fguid%3d1652564221660%26quantidadePaginas%3d1%26codigoRegistro%3d979996%23979996&i=3,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9992-8540,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-5374-2521,
