,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974397?guid=1652562411769&returnUrl=%2fresultado%2flistar%3fguid%3d1652562411769%26quantidadePaginas%3d1%26codigoRegistro%3d974397%23974397&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-4177-1322,,,,Universidade Estadual de Campinas,20,Universidade Estadual de Campinas (UNICAMP),Debora Drucker,Brazil,André Santanchè,no info,,,,,,Embrapa Agricultura Digital,Julio Cesar Dos Reis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/975456?guid=1652562493102&returnUrl=%2fresultado%2flistar%3fguid%3d1652562493102%26quantidadePaginas%3d1%26codigoRegistro%3d975456%23975456&i=2,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-8309-6367,orcid.org/0000-0001-8264-5811,,,,Universidade Estadual de Campinas,21,Universidade Estadual de Campinas,Maria da Graça Campos Pimentel,no info,André Santanchè,no info,,,,,,Universidade de São Paulo,Ariadne Carvalho,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/976520?guid=1652562530580&returnUrl=%2fresultado%2flistar%3fguid%3d1652562530580%26quantidadePaginas%3d1%26codigoRegistro%3d976520%23976520&i=3,orcid.org/0000-0002-4830-5298,orcid.org/0000-0003-3441-0887,orcid.org/0000-0002-6023-5982,,,,Universidade Estadual de Campinas,22,Centro de Tecnologia da Informação Renato Archer,Islene Calciolari Garcia,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,University of Campinas,Rodrigo Bonacin,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974502?guid=1652562569851&returnUrl=%2fresultado%2flistar%3fguid%3d1652562569851%26quantidadePaginas%3d1%26codigoRegistro%3d974502%23974502&i=6,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-5320-9209,orcid.org/0000-0001-6030-2682,,,,University of Campinas,23,Universidade Federal Fluminense,Eduardo C. Xavier,Brazil,Lehilton Pedrosa,no info,,,,,,University of Campinas,Ueverton S. Souza,Brazil,,,,,,,,,,,,,,,Algorithms, Graphs, Parameterized Complexity,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974962?guid=1652562613244&returnUrl=%2fresultado%2flistar%3fguid%3d1652562613244%26quantidadePaginas%3d1%26codigoRegistro%3d974962%23974962&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-5564-698X,orcid.org/0000-0002-0375-1657,,,,Universidade Estadual de Campinas,24,University of Campinas,Fernando Magno Quintão Pereira,Brazil,Guido Araujo,no info,,,,,,Universidade Federal de Minas Gerais,Lucas Wanner,no info,Compilers, Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/975469?guid=1652562643802&returnUrl=%2fresultado%2flistar%3fguid%3d1652562643802%26quantidadePaginas%3d1%26codigoRegistro%3d975469%23975469&i=1,orcid.org/0000-0003-2608-4807,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-3333-6822,,,,Universidade Estadual de Campinas,25,University of Brasilia,Zanoni Dias,Brazil,Guilherme P. Telles,Brazil,,,,,,University of Campinas,Maria Emilia Walter,Brazil,,,,,,,,,,,,,,,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/976168?guid=1652562679149&returnUrl=%2fresultado%2flistar%3fguid%3d1652562679149%26quantidadePaginas%3d1%26codigoRegistro%3d976168%23976168&i=2,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,no info,26,sem orcid,Eliane Martins,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974575?guid=1652562727284&returnUrl=%2fresultado%2flistar%3fguid%3d1652562727284%26quantidadePaginas%3d1%26codigoRegistro%3d974575%23974575&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-0171-4430,orcid.org/0000-0002-8972-080X,,,,Universidade Estadual de Campinas,27,no info,Fábio Usberti,no info,Leandro Villas,Brazil,,,,,,State University of Campinas,Otávio A. B. Penatti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/978844?guid=1652562806408&returnUrl=%2fresultado%2flistar%3fguid%3d1652562806408%26quantidadePaginas%3d1%26codigoRegistro%3d978844%23978844&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-1649-6843,orcid.org/0000-0002-8972-080X,,,,no info,28,Universidade Federal de São Paulo,Fábio Usberti,no info,Flávio K. Miyazawa,no info,,,,,,State University of Campinas,Kelly Poldi,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/974401?guid=1652562837496&returnUrl=%2fresultado%2flistar%3fguid%3d1652562837496%26quantidadePaginas%3d1%26codigoRegistro%3d974401%23974401&i=1,orcid.org/0000-0002-2457-0783,orcid.org/0000-0001-9241-2229,orcid.org/0000-0001-5685-8004,,,,Aarhus University,29,University of Campinas,Siome Goldenstein,no info,Diego F. Aranha,Denmark,Cryptography, Computer Security,,,,no info,Marco A. Amaral Henriques,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
