tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/402391?guid=1652138158992&returnUrl=%2fresultado%2flistar%3fguid%3d1652138158992%26quantidadePaginas%3d1%26codigoRegistro%3d402391%23402391&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-9892-740X,orcid.org/0000-0002-3823-8941,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/403718?guid=1652138238149&returnUrl=%2fresultado%2flistar%3fguid%3d1652138238149%26quantidadePaginas%3d1%26codigoRegistro%3d403718%23403718&i=1,orcid.org/0000-0002-9539-6874,sem orcid,orcid.org/0000-0002-0210-0908,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/982505?guid=1652138291969&returnUrl=%2fresultado%2flistar%3fguid%3d1652138291969%26quantidadePaginas%3d1%26codigoRegistro%3d982505%23982505&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398860?guid=1652138331902&returnUrl=%2fresultado%2flistar%3fguid%3d1652138331902%26quantidadePaginas%3d1%26codigoRegistro%3d398860%23398860&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0001-6471-3462,orcid.org/0000-0002-1180-2637,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398866?guid=1652138361774&returnUrl=%2fresultado%2flistar%3fguid%3d1652138361774%26quantidadePaginas%3d1%26codigoRegistro%3d398866%23398866&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0003-2592-3664,orcid.org/0000-0002-7002-875X,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399313?guid=1652138404541&returnUrl=%2fresultado%2flistar%3fguid%3d1652138404541%26quantidadePaginas%3d1%26codigoRegistro%3d399313%23399313&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-2075-3363,sem orcid,orcid.org/0000-0002-6023-5982,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/404786?guid=1652138448801&returnUrl=%2fresultado%2flistar%3fguid%3d1652138448801%26quantidadePaginas%3d1%26codigoRegistro%3d404786%23404786&i=1,orcid.org/0000-0001-8923-0432,sem orcid,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-8856-194X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399557?guid=1652138508143&returnUrl=%2fresultado%2flistar%3fguid%3d1652138508143%26quantidadePaginas%3d1%26codigoRegistro%3d399557%23399557&i=6,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-2075-3363,orcid.org/0000-0001-5015-2131,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/410052?guid=1652138551701&returnUrl=%2fresultado%2flistar%3fguid%3d1652138551701%26quantidadePaginas%3d1%26codigoRegistro%3d410052%23410052&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0003-4929-7258,orcid.org/0000-0002-3159-4839,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/410168?guid=1652138596423&returnUrl=%2fresultado%2flistar%3fguid%3d1652138596423%26quantidadePaginas%3d1%26codigoRegistro%3d410168%23410168&i=1,sem orcid,sem orcid,orcid.org/0000-0001-7878-4990,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/408727?guid=1652138619058&returnUrl=%2fresultado%2flistar%3fguid%3d1652138619058%26quantidadePaginas%3d1%26codigoRegistro%3d408727%23408727&i=1,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0002-1067-6421,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/471978?guid=1652138656837&returnUrl=%2fresultado%2flistar%3fguid%3d1652138656837%26quantidadePaginas%3d1%26codigoRegistro%3d471978%23471978&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6540-8686,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/410063?guid=1652138696247&returnUrl=%2fresultado%2flistar%3fguid%3d1652138696247%26quantidadePaginas%3d1%26codigoRegistro%3d410063%23410063&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0001-8522-2056,orcid.org/0000-0002-2914-5380,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/399530?guid=1652138740096&returnUrl=%2fresultado%2flistar%3fguid%3d1652138740096%26quantidadePaginas%3d1%26codigoRegistro%3d399530%23399530&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-1180-2637,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423609?guid=1652138784772&returnUrl=%2fresultado%2flistar%3fguid%3d1652138784772%26quantidadePaginas%3d1%26codigoRegistro%3d423609%23423609&i=1,sem orcid,sem orcid,orcid.org/0000-0002-3823-8941,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420185?guid=1652138815371&returnUrl=%2fresultado%2flistar%3fguid%3d1652138815371%26quantidadePaginas%3d1%26codigoRegistro%3d420185%23420185&i=1,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420767?guid=1652138847436&returnUrl=%2fresultado%2flistar%3fguid%3d1652138847436%26quantidadePaginas%3d1%26codigoRegistro%3d420767%23420767&i=1,orcid.org/0000-0003-1908-4753,sem orcid,sem orcid,,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/429546?guid=1652138884373&returnUrl=%2fresultado%2flistar%3fguid%3d1652138884373%26quantidadePaginas%3d1%26codigoRegistro%3d429546%23429546&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-4929-7258,orcid.org/0000-0001-5685-8004,,,,
MESTRADO PROFISSIONAL,https://repositorio.unicamp.br/acervo/detalhe/415402?guid=1652138907496&returnUrl=%2fresultado%2flistar%3fguid%3d1652138907496%26quantidadePaginas%3d1%26codigoRegistro%3d415402%23415402&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0002-3823-8941,,,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399604?guid=1652139058315&returnUrl=%2fresultado%2flistar%3fguid%3d1652139058315%26quantidadePaginas%3d1%26codigoRegistro%3d399604%23399604&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0003-1752-6255,sem orcid,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9384-8347,orcid.org/0000-0002-9539-6874
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399466?guid=1652139104366&returnUrl=%2fresultado%2flistar%3fguid%3d1652139104366%26quantidadePaginas%3d1%26codigoRegistro%3d399466%23399466&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1561-8447,orcid.org/0000-0002-1163-9980,orcid.org/0000-0002-3891-1593,sem orcid,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399489?guid=1652139159772&returnUrl=%2fresultado%2flistar%3fguid%3d1652139159772%26quantidadePaginas%3d1%26codigoRegistro%3d399489%23399489&i=1,orcid.org/0000-0001-8309-6367,sem orcid,sem orcid,orcid.org/0000-0002-7270-1477,orcid.org/0000-0001-5685-8004,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/399410?guid=1652139213124&returnUrl=%2fresultado%2flistar%3fguid%3d1652139213124%26quantidadePaginas%3d1%26codigoRegistro%3d399410%23399410&i=2,orcid.org/0000-0001-9174-2816,sem orcid,sem orcid,sem orcid,orcid.org/0000-0001-9772-263X,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/423614?guid=1652139260360&returnUrl=%2fresultado%2flistar%3fguid%3d1652139260360%26quantidadePaginas%3d1%26codigoRegistro%3d423614%23423614&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-6393-0876,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-5945-0845,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/410324?guid=1652139290690&returnUrl=%2fresultado%2flistar%3fguid%3d1652139290690%26quantidadePaginas%3d1%26codigoRegistro%3d410324%23410324&i=1,orcid.org/0000-0001-5201-1244,sem orcid,sem orcid,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-8309-6367,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/776458?guid=1652139430354&returnUrl=%2fresultado%2flistar%3fguid%3d1652139430354%26quantidadePaginas%3d1%26codigoRegistro%3d776458%23776458&i=1,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0003-3692-2202,orcid.org/0000-0002-5591-3750,sem orcid,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/422907?guid=1652139522605&returnUrl=%2fresultado%2flistar%3fguid%3d1652139522605%26quantidadePaginas%3d1%26codigoRegistro%3d422907%23422907&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0002-4607-9880,sem orcid,orcid.org/0000-0003-0683-7672,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-1908-4753
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/409260?guid=1652139610764&returnUrl=%2fresultado%2flistar%3fguid%3d1652139610764%26quantidadePaginas%3d1%26codigoRegistro%3d409260%23409260&i=1,sem orcid,orcid.org/0000-0002-2992-3429,orcid.org/0000-0002-4888-0778,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,,
DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/432282?guid=1652139662272&returnUrl=%2fresultado%2flistar%3fguid%3d1652139662272%26quantidadePaginas%3d1%26codigoRegistro%3d432282%23432282&i=1,orcid.org/0000-0002-1067-6421,orcid.org/0000-0001-9924-0079,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-5259-2859,,
