orcid,filiacao orcid,filiacao padronizada
orcid.org/0000-0003-3441-0887,Centro de Tecnologia da Informação Renato Archer,Centro de Tecnologia da Informação Renato Archer
orcid.org/0000-0002-6731-1482,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-5227-7165,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7002-875X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9241-2229,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-0349-7441,no info,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0003-4549-7105,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-4231-9621,Federal University of Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-4531-1473,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-4036-8064,Universidade Federal de Pernambuco,Universidade Federal de Pernambuco
orcid.org/0000-0001-5944-8246,no info,Universidade Federal de São Carlos
orcid.org/0000-0001-5685-8004,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-6317-218X,University of Brasilia,Universidade de Brasília
orcid.org/0000-0002-9460-8847,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-5426-7083,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-1140-4513,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-6030-2682,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5259-2859,University of Sao Paulo,Universidade de São Paulo
orcid.org/0000-0002-1067-6421,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-2283-1123,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-4329-6214,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-3087-9234,Universidade Federal do ABC,Universidade Federal do ABC
orcid.org/0000-0001-6503-8016,The Open University,The Open University
orcid.org/0000-0003-1929-9391,no info,Universidade Federal do Rio Grande do Norte
orcid.org/0000-0003-4177-1322,Embrapa Agricultura Digital,Embrapa
orcid.org/0000-0003-4832-9318,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-2457-0783,Aarhus University,Aarhus University
orcid.org/0000-0002-0512-506X,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-5295-3514,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0524-3274,Univesity of Sao Paulo,Universidade de São Paulo
orcid.org/0000-0001-5396-9868,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-5597-613X,Federal University of ABC,Universidade Federal do ABC
orcid.org/0000-0002-0210-0908,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5564-698X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3333-6822,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-6822-931X,University of Brasilia,Universidade de Brasília
orcid.org/0000-0003-4931-9891,Universidade Estadual Paulista,Universidade Estadual Paulista
orcid.org/0000-0002-4113-7543,no info,Sorbonne Universités
orcid.org/0000-0002-4128-5415,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-4059-8700,Federal University of São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0002-1649-6843,Universidade Federal de São Paulo,Universidade Federal de São Paulo
orcid.org/0000-0002-5455-8910,Federal University of São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0002-0145-5571,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-8264-5811,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-5320-9209,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0002-0171-4430,no info,Samsung R&D Institute Brazil 
orcid.org/0000-0003-2998-6785,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3692-2202,no info,Universidade Federal de São Carlos
orcid.org/0000-0002-2075-3363,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0001-5015-2131,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-0483-3435,no info,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-4627-9743,The University of Iowa,The University of Iowa
orcid.org/0009-0000-2453-6617,no info,Universidade Federal do Pampa
orcid.org/0000-0003-3580-5178,Unicamp,Universidade Estadual de Campinas
orcid.org/0000-0003-4427-652X,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-5945-0845,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-9955-5721,no info,"Universidade Federal de Minas Gerais,"
orcid.org/0000-0002-9529-4253,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6946-9670,Universidade Federal de São Paulo,Universidade Federal de São Paulo
orcid.org/0000-0002-3948-305X,Universidade Federal de São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0003-2973-2232,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0001-9722-5764,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-5746-4154,no info,Universidade de São Paulo
orcid.org/0000-0003-3109-4305,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0003-4568-8040,no info,Imperial College London
orcid.org/0000-0003-4929-7258,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Universidade de São Paulo
orcid.org/0000-0002-7350-8599,Universidade Federal de Campina Grande,Universidade Federal de Campina Grande
orcid.org/0000-0001-7878-4990,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-4763-3046,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-2112-4806,no info,Universidade Federal Fluminense
orcid.org/0000-0003-1449-8834,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-5652-0852,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9174-2816,Universidade de Sao Paulo,Universidade de São Paulo
orcid.org/0000-0003-2070-2061,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0003-4237-4281,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-4462-3325,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3910-8804,UNESP - Universidade Estadual Paulista,Universidade Estadual Paulista
orcid.org/0000-0001-7358-6696,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-8229-3139,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0003-2962-2033,Universidade Federal do Ceará,Universidade Federal do Ceará
orcid.org/0000-0002-8105-3627,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-6816-208X,no info,Universidade de São Paulo
orcid.org/0000-0002-9992-8540,Inria Centre de Recherche Grenoble Rhone-Alpes,Inria Centre de Recherche Grenoble Rhone-Alpes
orcid.org/0000-0002-5374-2521,no info,Universidade Federal do ABC
orcid.org/0000-0003-2059-9463,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-4865-5896,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-3434-3074,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0003-2430-2030,Universidade Federal do Paraná,Universidade Federal do Paraná
orcid.org/0000-0002-8639-3532,Federal University of Technology - Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-8340-4881,no info,Universidade Federal Fluminense
orcid.org/0000-0001-5203-4366,no info,Universidade de São Paulo
orcid.org/0000-0002-4252-3710,no info,Universidade Federal do ABC
orcid.org/0000-0001-5378-4732,Universidade Federal de Pernambuco,Universidade Federal de Pernambuco
orcid.org/0000-0003-2674-3366,Universidade Federal de Catalão,Universidade Federal de Catalão
orcid.org/0000-0003-2618-5499,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-8588-8197,Universidade Estadual de Maringá,Universidade Estadual de Maringá
orcid.org/0000-0001-5683-693X,no info,Instituto de Matemática Pura e Aplicada
orcid.org/0000-0001-5103-8541,University of Coimbra,University of Coimbra
orcid.org/0000-0003-0040-0752,no info,Universidade de São Paulo
orcid.org/0000-0001-8182-5554,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-7327-848X,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0003-3233-0314,Federal University of São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0002-9707-799X,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0002-1957-9943,University of Brasilia,Universidade de Brasília
orcid.org/0000-0003-0683-7672,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-1347-186X,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-9886-3506,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-6574-341X,no info,Universidade Federal de Minas Gerais
orcid.org/0000-0002-7538-7305,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-9598-5732,no info,Universidade Federal do Rio Grande do Sul 
orcid.org/0000-0003-4890-1548,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-9242-2806,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-8837-9291,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9756-378X,Federal University of Bahia,Universidade Federal da Bahia
orcid.org/0000-0002-2312-7042,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina
orcid.org/0000-0001-5615-1746,Universidade Federal de Mato Grosso do Sul,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0001-8229-3385,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Universidade de São Paulo
orcid.org/0000-0003-2314-5117,no info,Pontifícia Universidade Católica do Paraná
orcid.org/0000-0001-8515-0582,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5250-1785,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-0527-1083,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-5122-5646,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-7754-4298,no info,Universidade de São Paulo
orcid.org/0000-0003-1399-7535,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-9671-9313,Embrapa Informática Agropecuária,Embrapa
orcid.org/0000-0002-6750-5965,Pontifícia Universidade Católica do Rio de Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
orcid.org/0000-0002-6560-6965,Instituto Eldorado,Instituto Eldorado
orcid.org/0000-0002-6790-5184,Universidade Federal de Pelotas,Universidade Federal de Pelotas
orcid.org/0000-0002-6831-2006,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-7789-3359,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-6972-6913,Federal University of Pernambuco,Universidade Federal de Pernambuco
orcid.org/0000-0002-7959-6569,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0002-8514-8033,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-8956-8660,Federal University of Rio Grande do Sul,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0002-1914-5790,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-0189-8540,no info,Universidade Federal de Santa Catarina
orcid.org/0000-0002-5591-3750,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Universidade de São Paulo
orcid.org/0000-0003-1574-0362,Instituto Tecnológico de Aeronáutica,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0002-6399-8790,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-6625-6047,Universidade de São Paulo Câmpus de São Carlos,Universidade de São Paulo
orcid.org/0000-0001-5604-1002,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-4804-5788,University of São Paulo,Universidade de São Paulo
orcid.org/0000-0003-0678-4777,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6354-8917,no info,Universidade Estadual do Oeste do Paraná
orcid.org/0000-0003-1752-6255,Advanced Micro Devices,Advanced Micro Devices
orcid.org/0000-0003-3139-6266,no info,Universidade Federal do Paraná
orcid.org/0000-0002-9384-8347,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina
orcid.org/0000-0002-3219-8061,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-6261-1497,no info,Universidade de São Paulo
orcid.org/0000-0003-4262-5474,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina
orcid.org/0000-0002-3691-6171,no info,Universidade Federal de Minas Gerais
orcid.org/0000-0003-2823-4725,Fundação CPqD Centro de Pesquisa e Desenvolvimento em Telecomunicações,Fundação CPqD Centro de Pesquisa e Desenvolvimento em Telecomunicações
orcid.org/0000-0002-8856-194X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6951-7150,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-6112-892X,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-2972-9423,Universidade de Fortaleza,Universidade de Fortaleza
orcid.org/0000-0002-5178-3661,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-3160-3168,University of Warwick,University of Warwick
orcid.org/0000-0001-9336-9568,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-2715-6796,no info,Universidade Federal Fluminense
orcid.org/0000-0002-8225-1107,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0002-2906-3588,Federal University of Para,Universidade Federal do Pará
orcid.org/0000-0003-4701-8067,no info,Centro Federal de Educação Tecnológica do Ceará
orcid.org/0000-0001-5489-4909,IMPA,Instituto de Matemática Pura e Aplicada
orcid.org/0000-0002-9554-1381,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9892-740X,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9625-5259,Universidade Estadual de Maringá,Universidade Estadual de Maringá
orcid.org/0000-0002-4961-3428,University of Campinas School of Electrical and Computer Engineering,Universidade Estadual de Campinas
orcid.org/0000-0003-4344-1263,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5193-8643,Pontifícia Universidade Católica de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-1733-0087,Universidad de Cádiz,Universidad de Cádiz
orcid.org/0000-0001-5493-4560,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-8055-0680,Embrapa Agricultura Digital,Embrapa
orcid.org/0000-0002-6393-0876,no info,Universidade Federal do Rio de Janeiro
orcid.org/0000-0001-6049-4573,no info,Pontifícia Universidade Católica do Paraná
orcid.org/0000-0002-5760-8426,no info,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0001-9669-2352,Pontifícia Universidade Católica do Rio de Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
orcid.org/0000-0003-2111-1319,University of São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7561-5582,no info,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0002-7860-9575,Universidade Federal do Amazonas,Universidade Federal do Amazonas
orcid.org/0000-0003-0804-1790,Pontifícia Universidade Católica de Minas Gerais,Pontifícia Universidade Católica de Minas Gerais
orcid.org/0000-0001-9924-0079,no info,Universidade Federal Fluminense
orcid.org/0000-0001-8318-1780,no info,Universidade de São Paulo
orcid.org/0000-0002-1941-6036,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-4534-1250,no info,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0003-3888-7340,University of São Paulo,Universidade de São Paulo
orcid.org/0000-0001-8002-7075,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-6471-4710,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-3897-3356,Federal University of Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-0108-7246,State University of Londrina,Universidade Estadual de Londrina
orcid.org/0000-0002-6871-8428,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-7941-6281,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina
orcid.org/0000-0002-4312-202X,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade Estadual Paulista
orcid.org/0000-0002-2867-4838,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade Estadual Paulista
orcid.org/0000-0003-1531-7249,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-3527-6870,Embrapa Informática Agropecuária,Embrapa
orcid.org/0000-0002-8405-2152,Universidade Federal de Goiás,Universidade Federal de Goiás
orcid.org/0000-0002-5660-6488,no info,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-9206-8138,no info,Universidade Federal do ABC
orcid.org/0000-0003-1273-9809,Universidade Federal de São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0002-5861-4414,Federal University of Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-8757-4124,no info,Universidade Federal de Pernambuco
orcid.org/0000-0001-6471-3462,no info,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0001-8923-0432,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-1561-8447,Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo
orcid.org/0000-0002-1163-9980,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7270-1477,no info,Universidade de São Paulo
orcid.org/0000-0002-4607-9880,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-2992-3429,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-4888-0778,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora
orcid.org/0000-0002-9318-7956,no info,Universidade Paulista
orcid.org/0000-0001-7598-2799,no info,Universidade Federal do Pará
orcid.org/0000-0001-6994-8076,Federal University of Technology – Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0001-8657-3800,Universidade da Beira Interior,Universidade da Beira Interior
orcid.org/0000-0003-1381-4794,University of Sao Paulo,Universidade de São Paulo
orcid.org/0000-0002-8429-4119,CDI-Solutions,CDI-Solutions
orcid.org/0000-0001-9820-6047,University of Florence,University of Florence
orcid.org/0000-0002-3734-7679,Universidade Federal de Itajubá,Universidade Federal de Itajubá
orcid.org/0000-0001-7509-5532,Universidade Federal do ABC,Universidade Federal do ABC
orcid.org/0000-0002-0357-8655,Universidade Federal de Sergipe,Universidade Federal de Sergipe
orcid.org/0000-0001-6928-0168,no info,University of Palermo
orcid.org/0000-0003-3765-8300,Brazilian Center for Research in Energy and Materials,Centro Nacional de Pesquisa em Energia e Materiais
orcid.org/0000-0002-0713-0583,no info,Universidade Federal de Viçosa
orcid.org/0000-0003-1214-3431,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9319-9829,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0002-1546-3740,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0003-0499-2564,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0003-1527-9668,Institut National des Sciences Appliquées de Rennes,Institut National des Sciences Appliquées de Rennes
orcid.org/0000-0002-1287-8019,no info,Centro Nacional de Pesquisa em Energia e Materiais
orcid.org/0000-0001-6465-356X,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-1534-5744,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0001-6809-3547,Universidade Federal de Mato Grosso do Sul,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0002-4984-4832,no info,Embrapa
orcid.org/0000-0003-4275-0638,Adapit Soluçõs em TI,Adapit Soluçõs em TI
orcid.org/0000-0002-1277-9336,Universidade Federal de Mato Grosso do Sul,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0003-3081-9722,no info,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
orcid.org/0000-0001-7745-6151,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-2223-947X,University of Cauca,University of Cauca
orcid.org/0000-0001-8585-706X,Universidad del Qundío,Universidad del Qundío
orcid.org/0000-0002-6275-6503,Universidade do Vale do Rio dos Sinos,Universidade do Vale do Rio dos Sinos
orcid.org/0000-0003-3551-4063,Carleton University,Carleton University
orcid.org/0000-0001-8597-4987,Universidade Federal do ABC,Universidade Federal do ABC
orcid.org/0000-0003-2440-0247,Universidade Federal de Ouro Preto,Universidade Federal de Ouro Preto
orcid.org/0000-0002-2961-4044,University of Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0002-4851-5228,Federal University of Bahia,Universidade Federal da Bahia
orcid.org/0000-0001-7637-4293,no info,Fundação CPQD
orcid.org/0000-0002-9272-3403,Embrapa Agricultura Digital,Embrapa
orcid.org/0000-0002-3754-9115,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-7718-8142,Brazilian Bioethanol Science and Technology Laboratory (CTBE/CNPEM),Centro Nacional de Pesquisa em Energia e Materiais
orcid.org/0000-0002-1156-8270,Embrapa Informática Agropecuária,Embrapa
orcid.org/0000-0001-8793-3185,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5868-6661,Federal Institute of Ceará,Instituto Federal do Ceará
orcid.org/0000-0001-7461-7570,Universidade Federal do Rio Grande do Norte,Universidade Federal do Rio Grande do Norte
orcid.org/0000-0002-1095-6714,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-3875-2211,no info,Universidade Federal de Goiás
orcid.org/0000-0001-9577-9309,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-0225-5106,Universidade Estadual Paulista (Unesp),Universidade Estadual Paulista
orcid.org/0000-0003-0602-6298,Universidade Federal do ABC,Universidade Federal do ABC
orcid.org/0000-0002-8687-2613,no info,Universidade Federal Fluminense
orcid.org/0000-0001-5715-149X,Pontifícia Universidade Católica do Rio de Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
orcid.org/0000-0002-2836-2009,Federal University of Santa Maria,Universidade Federal de Santa Maria
