,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_nome,orientador_país,orientador_keyword_1,row_idx,avaliador2_filiação,avaliador2_nome,avaliador2_país,orientador_filiação,avaliador1_filiação,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_2,orientador_keyword_3,avaliador1_nome,avaliador1_país,orientador_keyword_4,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador3_keyword_1,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5,avaliador3_keyword_6,avaliador3_keyword_7,avaliador4_keyword_5,avaliador4_keyword_6
18,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371766,orcid.org/0000-0002-2457-0783,orcid.org/0000-0003-3738-6448,orcid.org/0000-0002-6731-1482,,,,Diego F. Aranha,Denmark,Cryptography,18,no info,Julio Cesar Lopez Hernandez,Mexico,Aarhus University,Universidade de São Paulo,,,,,, Computer Security,,Bruno Albertini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1374170,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-3434-3074,orcid.org/0000-0003-2608-4807,,,,Edson Borin,no info,,19,Universidade Estadual de Campinas,Guilherme P. Telles,Brazil,Universidade Estadual de Campinas,Universidade Federal Fluminense,,,,,,,,yuri frota,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1374913,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3888-7340,orcid.org/0000-0003-0499-2564,,,,Cecilia Mary Fischer Rubira Rubira,no info,,20,Universidade Estadual de Campinas (UNICAMP),Marcos M. Raimundo,no info,no info,University of São Paulo,,,,,,,,Fabio Kon,Brazil,,,,,,,,,,,Smart Cities, Software Development, Open Source, Agile Development, Middleware,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384752,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0003-0467-3133,,,,Sandra Avila,no info,,21,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Universidade Estadual de Campinas,Universidade de São Paulo,,,,,,,,Moacir Ponti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376274,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-3425-0481,orcid.org/0000-0002-1756-4852,,,,Julio Cesar Dos Reis,no info,,22,Universidade Estadual de Campinas,André Santanchè,no info,Universidade Estadual de Campinas (UNICAMP),Federal University of Espirito Santo,,,,,,,,Veruska Zamborlini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1380383,orcid.org/0000-0002-8603-699X,orcid.org/0000-0002-8007-9817,orcid.org/0000-0002-6023-5982,,,,Juliana Freitag Borin,Brazil,Internet of Things,23,University of Campinas,Islene Calciolari Garcia,no info,University of Campinas,PUC-Rio,,,,,, Smart Cities, Computer network protocols,Markus Endler,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384107,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-4034-0021,,,,,Edmundo Madeira,no info,,24,,,,UNICAMP - University of Campinas,Universidade Federal do Tocantins,,,,,,,,Marcelo Rocha,Brazil,,,,,,,,,,,Computational Intelligence; Combinatorial Optimization; High Performance Computing,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376865,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-5564-698X,,,,Guido Araujo,no info,,25,University of Campinas,Lucas Wanner,no info,Universidade Estadual de Campinas,Universidade Federal de Minas Gerais,,,,,,,,Fernando Magno Quintão Pereira,Brazil,,,,,,,,,,,Compilers, Programming Languages,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384992,orcid.org/0000-0002-8972-080X,orcid.org/0000-0003-0499-2564,sem orcid,,,,Fábio Usberti,no info,,26,sem orcid,sem orcid,sem orcid,State University of Campinas,Universidade Estadual de Campinas (UNICAMP),,,,,,,,Marcos M. Raimundo,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1376866,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-9068-938X,orcid.org/0000-0001-8065-1433,,,,Islene Calciolari Garcia,no info,,27,Universidade de São Paulo Instituto de Matemática e Estatística,Renata Wassermann,Brazil,University of Campinas,Universidade Estadual de Campinas,Inteligência Artificial,Lógica,Representação do Conhecimento,Artificial Intelligence,Logic,,,Sandra Avila,no info,,,,,,,,,,,,,,,,Knowledge Representation,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1380388,orcid.org/0000-0003-4237-4281,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-0000-6990,,,,C. N. Campos,Brazil,,28,Rio de Janeiro State University,Luerbio Faria,no info,University of Campinas,University of Campinas,,,,,,,,Orlando Lee,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1268597,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-2973-2232,orcid.org/0000-0002-4711-5783,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-9068-938X,,Adín Ramírez Rivera,Norway,,29,Universidade Federal do Rio Grande do Sul,Claudio R. Jung,no info,Universidade Estadual de Campinas,Universidade Federal de Minas Gerais,,,,,,,,Erickson R. Nascimento,Brazil,,,Helio Pedrini,Brazil,Universidade Estadual de Campinas,University of Campinas,,,Sandra Avila,no info,Computer Vision,Pattern Recognition,Underwater Imaging,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,
30,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1266160,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9992-8540,orcid.org/0000-0002-6790-5184,orcid.org/0000-0003-1140-4513,orcid.org/0000-0002-3823-8941,,Guido Araujo,no info,,30,Universidade Federal de Pelotas,Andre Rauber Du Bois,no info,Universidade Estadual de Campinas,Inria Centre de Recherche Grenoble Rhone-Alpes,,,,,,,,Márcio Castro,Brazil,,,Marcio M. Pereira,Brazil,University of Campinas,no info,,,Luiz Eduardo Buzato,Brazil,Parallel and Distributed Computing,High Performance Computing,Parallel Architectures,Parallel Programming Languages,,,,,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,
31,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1267978,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8597-4987,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-1546-3740,orcid.org/0000-0002-0512-506X,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,31,Universidade Estadual de Campinas,André Santanchè,no info,University of Campinas,Universidade Federal do ABC,,,,,,,,Ronaldo Prati,no info,,,Carlos Caetano,Brazil,no info,Universidade Federal de Minas Gerais,,,Alexandre Ferreira,no info,data mining, machine learning, artificial intelligence,,,,,,,,,,,,,,,,,
32,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1274358,orcid.org/0000-0002-2457-0783,orcid.org/0000-0003-1303-3760,orcid.org/0000-0001-5159-9517,orcid.org/0000-0002-6731-1482,orcid.org/0000-0003-4869-5190,,Diego F. Aranha,Denmark,Cryptography,32,Laboratório Nacional de Computação Científica,Fábio Borges,Brazil,Aarhus University,"imec-COSIC, KU Leuven",Security,Privacy,Algorithms,Smart Grids,Artificial Intelligence, Computer Security,,Hilder Vitor Lima Pereira,no info,,,Julio Cesar Lopez Hernandez,Mexico,Universidade Estadual de Campinas,no info,,,Guido Araujo,no info,,,,,,,,,,,,,,,,,,,,
33,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1338842,orcid.org/0000-0002-5945-0845,orcid.org/0000-0001-5501-9719,orcid.org/0000-0002-9244-9969,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-2608-4807,,Cid de Souza,Brazil,Integer Programming,33,Universidade Federal da Paraíba,Anand Subramanian,no info,Universidade Estadual de Campinas,Universidade Federal de Minas Gerais,,,,,,Combinatorial Optimization,Algorithms (design and analysis),Cristiano Arbex Valle,no info,Operations Research,,Flávio K. Miyazawa,no info,Universidade Estadual de Campinas,no info,,,Guilherme P. Telles,Brazil,,,,,,,,,,,,,,,,,,,,
34,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341176,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0003-1707-1887,orcid.org/0000-0002-3734-7679,orcid.org/0000-0002-8972-080X,,Eduardo C. Xavier,Brazil,,34,no info,Celso Cavellucci,no info,University of Campinas,sem orcid,,,,,,,,sem orcid,sem orcid,,,Pedro Hokama,no info,State University of Campinas,Universidade Federal de Itajubá,,,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,
35,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1341245,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2982-4006,orcid.org/0000-0002-9936-3770,,Leandro Villas,Brazil,,35,UNICAMP - University of Campinas,Edmundo Madeira,no info,Universidade Estadual de Campinas,sem orcid,,,,,,,,sem orcid,sem orcid,,,Rodolfo I. Meneguette,no info,UFRN,IFSP,,,A. Venâncio Neto,Brazil,,,,,,,,,Computer Networks, Wireless and Mobile Communications, Smart Environments,,, IoT,,,,, Cloud Computing,
36,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347602,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-9835-352X,orcid.org/0000-0002-1649-6843,orcid.org/0000-0001-6476-4534,,,Rafael C. S. Schouery,no info,,36,Universidade Federal de São Paulo,Kelly Poldi,no info,Universidade Estadual de Campinas,Federal University of Rio de Janeiro,,,,,,,,E. F. Arruda,no info,,,Mário César San Felice,Brazil,,Universidade de São Paulo,,,,,,,,,,,,Approximation Algorithms,,,,Facility Location Problems,Network Design Problems,,Randomized Algorithms,Combinatorial Optimization,Online Algorithms,Competitive Analysis,,
37,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1347215,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-3094-6847,orcid.org/0000-0001-9538-9538,orcid.org/0000-0003-0499-2564,,,Rafael C. S. Schouery,no info,,37,Universidade Estadual de Campinas,Cristiano Torezzan,Brazil,Universidade Estadual de Campinas,Aeronautics Institute of Technology,,,,,,,,"Nascimento, M. C. V.",no info,,,Marcos M. Raimundo,no info,,Universidade Estadual de Campinas (UNICAMP),,,,,combinatorial optimization, machine learning, graph theory, spectral analysis,,,,,,,,,,,,,,,,
38,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1345182,orcid.org/0000-0002-5564-698X,orcid.org/0000-0003-4808-4904,orcid.org/0000-0001-5746-4154,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9539-6874,,Lucas Wanner,no info,,38,no info,Alfredo Goldman,no info,University of Campinas,Instituto Tecnológico de Costa Rica,,,,,,,,Jorge Castro-Godínez,Costa Rica,,,Guido Araujo,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,Sandro Rigo,Brazil,,,,,,,,,Computer Architecture,Compilers,Code Optimization,,,High-Performance Computing,,,,,,
39,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1368537,orcid.org/0000-0003-1001-082X,orcid.org/0000-0002-5320-9209,orcid.org/0000-0001-6476-4534,sem orcid,orcid.org/0000-0003-4462-3325,,Lehilton Pedrosa,no info,,39,Universidade de São Paulo,Mário César San Felice,Brazil,University of Campinas,Universidade Federal Fluminense,Approximation Algorithms,Facility Location Problems,Network Design Problems,Randomized Algorithms,Combinatorial Optimization,,,Ueverton S. Souza,Brazil,,,sem orcid,sem orcid,University of Campinas,sem orcid,,,Orlando Lee,no info,Algorithms, Graphs, Parameterized Complexity,,,Online Algorithms,Competitive Analysis,,,,,,,,,,,,,
40,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1362654,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-6731-1482,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-7048-6585,,Edson Borin,no info,,40,Universidade de São Paulo,Marcos Simplicio,Brazil,Universidade Estadual de Campinas,no info,,,,,,,,Julio Cesar Lopez Hernandez,Mexico,,,Ricardo Dahab,Brazil,no info,University of Campinas,,,Jeroen van de Graaf,no info,,,,,,,,Cryptography,,,, Graph Theory,,,,,,,,
41,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1371375,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-0713-0583,orcid.org/0000-0002-9682-0075,orcid.org/0000-0002-8603-699X,,,Leandro Villas,Brazil,,41,Instituto Tecnológico de Aeronáutica,Lourenço Alves Pereira Júnior,Brazil,Universidade Estadual de Campinas,no info,Computer Networks,Cyber Security,Performance Evaluation,System Dynamics,Operating Systems,,,Fabrício Silva,no info,,,Juliana Freitag Borin,Brazil,,University of Campinas,,,,,,,,,,,,Internet of Things,,,, Smart Cities, Computer network protocols,,,,,,,
42,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1374643,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-9992-8540,orcid.org/0000-0001-5746-4154,orcid.org/0000-0003-1214-3431,orcid.org/0000-0002-5564-698X,,Guido Araujo,no info,,42,no info,Alfredo Goldman,no info,Universidade Estadual de Campinas,Inria Centre de Recherche Grenoble Rhone-Alpes,,,,,,,,Márcio Castro,Brazil,,,Hervé Yviquel,Brazil,University of Campinas,Universidade Estadual de Campinas,,,Lucas Wanner,no info,Parallel and Distributed Computing,High Performance Computing,Parallel Architectures,Parallel Programming Languages,,,,Parallel Computing,,,,High Performance Computing,Parallel Programming Model,,Compilers,,,,,
43,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1376019,,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-9936-3770,orcid.org/0000-0002-7561-5582,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-1001-082X,,,,43,UFRN,A. Venâncio Neto,Brazil,,Universidade Estadual de Campinas,Computer Networks, Wireless and Mobile Communications, Smart Environments, IoT, Cloud Computing,,,Nelson L. S. da Fonseca,no info,,University of Campinas,Luciano Gaspary,Brazil,Universidade Estadual de Campinas,no info,Lehilton Pedrosa,no info,Luiz Fernando Bittencourt,no info,,,,,,,,,,,,,,,,,,,,
44,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1376656,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-8556-6473,orcid.org/0000-0002-8922-6975,orcid.org/0000-0003-4290-6508,sem orcid,,Maria Cecilia Calani Baranauskas,Brazil,HCI,44,Universidade Federal do Paraná,Leticia M. Peres,Brazil,Universidade Estadual de Campinas,Universidade de São Paulo,,,,,,Socially Aware Design,Organizational Semiotics,Roseli de Deus Lopes,no info,Participatory Design,,Eliane Martins,no info,sem orcid,no info,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
45,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/480769,orcid.org/0000-0001-5195-0215,sem orcid,sem orcid,orcid.org/0000-0002-9232-2263,orcid.org/0000-0002-8156-7302,,Gastão Campos,no info,,45,sem orcid,sem orcid,sem orcid,no info,sem orcid,,,,,,,,sem orcid,sem orcid,,,carlos correa,no info,no info,no info,,,Marcos Drumond Jr,no info,,,,,,,,,,,,,,,,,,,,
46,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1378810,orcid.org/0000-0002-8972-080X,sem orcid,orcid.org/0000-0002-3734-7679,orcid.org/0000-0002-7100-870X,orcid.org/0000-0002-1649-6843,,Fábio Usberti,no info,,46,Universidade Federal de Itajubá,Pedro Hokama,no info,State University of Campinas,sem orcid,,,,,,,,sem orcid,sem orcid,,,Washington Alves de Oliveira,no info,Universidade Federal de São Paulo,no info,,,Kelly Poldi,no info,,,,,,,,,,,,,,,,,,,,
47,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/1378893,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0467-3133,orcid.org/0000-0001-9722-5764,orcid.org/0000-0002-7271-2774,,Alexandre Falcao,Brazil,image processing,47,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Universidade Estadual de Campinas,University of Campinas,,,,,, visualization, and analysis,Helio Pedrini,Brazil, (interactive) machine learning ,,Nina S. T. Hirata,no info,no info,Universidade de São Paulo,,,"Azevedo-Marques, PM",Brazil,image and video processing; machine learning; computer vision,,,,,,,Machine Learning,Medical Image Processing, Pattern Recognition, CAD, Deep learning, Pattern Recognition, PACS, Image analysis, Image Processing,,, CBIR, Radiomics
