,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,avaliador2_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_6,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador1_keyword_7,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador3_keyword_5,avaliador3_keyword_6,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador4_keyword_7
28,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1170196,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-2312-7042,,,Universidade Federal de Santa Catarina,28,UNICAMP - University of Campinas,Mario Dantas,Brazil,Edmundo Madeira,no info,Islene Calciolari Garcia,no info,,,,,,University of Campinas,,,,HPC,,,,,,,, Data Intensive Scalable Computing, E-Heath, HCI,Distributed and Parallel Computing, IoT,,,,,,,,,,,,,,,,
29,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1230257,orcid.org/0000-0001-9068-938X,sem orcid,orcid.org/0000-0003-0467-3133,,,Universidade Estadual de Campinas,29,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Sandra Avila,no info,sem orcid,sem orcid,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1235352,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-7699-8677,orcid.org/0000-0003-4462-3325,,,University of Campinas,30,University of Campinas,Orlando Lee,no info,Ricardo Dahab,Brazil,P. Feofiloff,Brazil,combinatorial optimization, graph theory, algorithms,,,Universidade de São Paulo,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1235402,orcid.org/0000-0002-1067-6421,orcid.org/0000-0003-2962-2033,orcid.org/0000-0001-8785-5906,orcid.org/0000-0002-1649-6843,,University of Waterloo,31,no info,Ricardo Fukasawa,Canada,Flávio K. Miyazawa,no info,Manoel Campêlo,Brazil,mathematical optimization,integer programming,combinatorial optimization,,,Universidade Federal do Ceará,,,,integer programming,,Universidade Federal de São Paulo,Kelly Poldi,no info,,,,operations research,stochastic programming,bilevel optimization,vehicle routing,,,,,,,,,,,,,,,,,
32,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1235302,orcid.org/0000-0002-4321-9075,orcid.org/0000-0001-6753-139X,orcid.org/0000-0003-0467-3133,,,Universidade Estadual de Campinas,32,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Adín Ramírez Rivera,Norway,Valdir Grassi Jr,Brazil,,,,,,University of São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1234583,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-2457-0783,orcid.org/0000-0002-0375-1657,,,Universidade Federal de Minas Gerais,33,Universidade Estadual de Campinas,Fernando Magno Quintão Pereira,Brazil,Sandro Rigo,Brazil,Diego F. Aranha,Denmark,Cryptography, Computer Security,,,,Aarhus University,Computer Architecture,Compilers,Code Optimization,Compilers,,,,,,,, Programming Languages,,,,,,High-Performance Computing,,,,,,,,,,,,,,
34,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1233262,orcid.org/0000-0002-2914-5380,orcid.org/0000-0001-8522-2056,orcid.org/0000-0003-2059-9463,,,Universidade de São Paulo,34,Universidade Estadual de Campinas,Moacir Ponti,no info,Alexandre Falcao,Brazil,Silvio GUIMARAES,Brazil,,,,,,Pontifícia Universidade Católica de Minas Gerais,image processing, visualization, and analysis,,,,,,,,,,,,,,, (interactive) machine learning ,,,,,,,,,,,,,,
35,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1231958,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-1649-6843,orcid.org/0000-0002-0472-4810,,,Universidade Estadual de Campinas,35,University of Campinas,Rafael C. S. Schouery,no info,Zanoni Dias,Brazil,Kelly Poldi,no info,,,,,,Universidade Federal de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1231426,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-1323-0502,orcid.org/0000-0002-5662-6593,,,no info,36,Universidade Estadual de Campinas,Isaac Jesus da Silva,Brazil,Esther Luna Colombini,no info,Paulo Rosa,no info,,,,,,Instituto Militar de Engenharia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1235753,orcid.org/0000-0003-1783-4231,sem orcid,orcid.org/0000-0002-1180-2637,orcid.org/0000-0001-7131-8989,,UNICAMP - University of Campinas,37,Universidade Estadual de Campinas,Edmundo Madeira,no info,Edson Borin,no info,sem orcid,sem orcid,,,,,,sem orcid,,,,,,no info,Luís Fernando Gomez Gonzalez,no info,,,,,,,,,,,,,,,,,,,,,,,,
