orcid, nome, genero
orcid.org/0000-0001-9241-2229, Marco A. Amaral Henriques, 
orcid.org/0000-0002-0349-7441, Said Sadique Adi, 
orcid.org/0000-0003-4549-7105, Cecilia Mary Fischer Rubira Rubira, 
orcid.org/0000-0002-4231-9621, Claudia Maria Lima Werner, 
orcid.org/0000-0002-4531-1473, Breno Bernard Nicolau de França, 
orcid.org/0000-0003-4036-8064, Ana Carolina Salgado, 
orcid.org/0000-0001-5944-8246, Ricardo Ciferri, 
orcid.org/0000-0001-5685-8004, Siome Goldenstein, 
orcid.org/0000-0002-6317-218X, Flavio de Barros Vidal, 
orcid.org/0000-0002-9460-8847, SANTIAGO, P. R. P., 
orcid.org/0000-0001-5426-7083, Milton Shoiti Misuta, 
orcid.org/0000-0003-1140-4513, Marcio M. Pereira, 
orcid.org/0000-0001-6030-2682, Eduardo C. Xavier, 
orcid.org/0000-0002-5259-2859, Cristina G. Fernandes, 
orcid.org/0000-0002-1067-6421, Flávio K. Miyazawa, 
orcid.org/0000-0003-2283-1123, Saraiva, A.M., 
orcid.org/0000-0002-4329-6214, Flavio Santos, 
orcid.org/0000-0002-3087-9234, Carlos Kamienski, 
orcid.org/0000-0001-6503-8016, Lara Piccolo, 
orcid.org/0000-0003-1929-9391, Leonardo Cunha de Miranda, 
orcid.org/0000-0003-4177-1322, Debora Drucker, 
orcid.org/0000-0003-4832-9318, Ivan Luiz Marques Ricarte, 
orcid.org/0000-0002-2457-0783, Diego F. Aranha, 
orcid.org/0000-0002-0512-506X, Alexandre Ferreira, 
orcid.org/0000-0001-5295-3514, Luiz Camolesi Júnior, 
orcid.org/0000-0003-0524-3274, Julio Cezar Estrella, 
orcid.org/0000-0001-5396-9868, Eduardo Valle, 
orcid.org/0000-0001-5597-613X, Carlos Alberto dos Reis Filho, 
orcid.org/0000-0002-0210-0908, Ricardo  Pannain, 
orcid.org/0000-0002-5564-698X, Lucas Wanner, 
orcid.org/0000-0003-3333-6822, Zanoni Dias, 
orcid.org/0000-0001-6822-931X, Maria Emilia Walter, 
orcid.org/0000-0003-4931-9891, José Federico Vizcaino Gonzalez, 
orcid.org/0000-0002-4113-7543, Rafael Misoczki, 
orcid.org/0000-0002-4128-5415, Fernando J. Von Zuben, 
orcid.org/0000-0002-4059-8700, Vânia Paula de Almeida Neris, 
orcid.org/0000-0002-1649-6843, Kelly Poldi, 
orcid.org/0000-0002-5455-8910, Fabio Verdi, 
orcid.org/0000-0002-0145-5571, Francisco Rodrigues, 
orcid.org/0000-0001-8264-5811, Maria da Graça Campos Pimentel, 
orcid.org/0000-0002-5320-9209, Ueverton S. Souza, 
orcid.org/0000-0002-0171-4430, Otávio A. B. Penatti, 
orcid.org/0000-0003-2998-6785, LUIS MEIRA, 
orcid.org/0000-0003-3692-2202, Delano Beder, 
orcid.org/0000-0002-2075-3363, Marcos André Gonçalves, 
orcid.org/0000-0001-5015-2131, Neucimar Leite, 
orcid.org/0000-0002-0483-3435, Leyza Dorini, 
orcid.org/0000-0002-4627-9743, Juan Pablo Hourcade, 
orcid.org/0009-0000-2453-6617, Amanda Meincke Melo, 
orcid.org/0000-0003-3580-5178, Marcos Augusto Francisco Borges, 
orcid.org/0000-0003-4427-652X, Alessandro Arpetti, 
orcid.org/0000-0002-5945-0845, Cid de Souza, 
orcid.org/0000-0002-9955-5721, Alexandre Cunha, 
orcid.org/0000-0002-9529-4253, Pedro J. de Rezende, 
orcid.org/0000-0002-6946-9670, Yanasse, H.H., 
orcid.org/0000-0002-3948-305X, Reinaldo Morabito, 
orcid.org/0000-0003-2973-2232, Erickson R. Nascimento, 
orcid.org/0000-0001-9722-5764, Nina S. T. Hirata, 
orcid.org/0000-0001-5746-4154, Alfredo Goldman, 
orcid.org/0000-0003-3109-4305, Christian Esteve Rothenberg, 
orcid.org/0000-0003-4568-8040, Antonio Campello, 
orcid.org/0000-0003-4929-7258, Agma Traina, 
orcid.org/0000-0002-7350-8599, Andrey Brito, 
orcid.org/0000-0001-7878-4990, Joao Meidanis, 
orcid.org/0000-0002-4763-3046, Ulisses Dias, 
orcid.org/0000-0003-2112-4806, Cristina Vasconcelos, 
orcid.org/0000-0003-1449-8834, William Schwartz, 
orcid.org/0000-0002-5652-0852, Roberto Lotufo, 
orcid.org/0000-0001-9174-2816, Joao C. Setubal, 
orcid.org/0000-0003-2070-2061, sr matioli, 
orcid.org/0000-0003-4237-4281, C. N. Campos, 
orcid.org/0000-0003-4462-3325, Orlando Lee, 
orcid.org/0000-0003-3910-8804, Socorro Rangel, 
orcid.org/0000-0001-7358-6696, AMORIM, Raul Reis, 
orcid.org/0000-0002-8229-3139, Yoshiko Wakabayashi, 
orcid.org/0000-0003-2962-2033, Manoel Campêlo, 
orcid.org/0000-0002-8105-3627, Carlile Lavor, 
orcid.org/0000-0001-6816-208X, Kalinka Branco, 
orcid.org/0000-0002-9992-8540, Márcio Castro, 
orcid.org/0000-0002-5374-2521, Emilio Francesquini, 
orcid.org/0000-0003-2059-9463, Moacir Ponti, 
orcid.org/0000-0002-4865-5896, Daniel Macedo Batista, 
orcid.org/0000-0002-3434-3074, yuri frota, 
orcid.org/0000-0003-2430-2030, David Menotti, 
orcid.org/0000-0002-8639-3532, Sheila Almeida, 
orcid.org/0000-0002-8340-4881, Simone Dantas; Dantas, S.; S. Dantas, 
orcid.org/0000-0001-5203-4366, Luciano da Fontoura Costa, 
orcid.org/0000-0002-4252-3710, Jair Donadelli, 
orcid.org/0000-0001-5378-4732, Djamel F Hadj Sadok, 
orcid.org/0000-0003-2674-3366, Alves de Queiroz, Thiago, 
orcid.org/0000-0003-2618-5499, Renato Lopes, 
orcid.org/0000-0002-8588-8197, SILVA A F, 
orcid.org/0000-0001-5683-693X, Luiz Henrique de Figueiredo, 
orcid.org/0000-0001-5103-8541, Marco Vieira, 
orcid.org/0000-0003-0040-0752, Nunes, FLS, 
orcid.org/0000-0001-8182-5554, Leticia Rittner, 
orcid.org/0000-0002-7327-848X, Clodoveu Davis, 
orcid.org/0000-0003-3233-0314, Joice Lee Otsuka, 
orcid.org/0000-0002-9707-799X, José Mario De Martino, 
orcid.org/0000-0002-1957-9943, Mylene Farias, 
orcid.org/0000-0003-0683-7672, Anamaria Gomide, 
orcid.org/0000-0002-1347-186X, Jose Armando Valente, 
orcid.org/0000-0001-9886-3506, Ana Estela Antunes da Silva, 
orcid.org/0000-0001-6574-341X, Arnaldo  De Albuquerque Araujo , 
orcid.org/0000-0002-7538-7305, Jayme L Szwarcfiter, 
orcid.org/0000-0002-9598-5732, Luciana Buriol, 
orcid.org/0000-0003-4890-1548, Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio, 
orcid.org/0000-0001-9242-2806, Routo Terada, 
orcid.org/0000-0002-8837-9291, Sueli I. R. Costa, 
orcid.org/0000-0001-9756-378X, Figueiredo, G.B., 
orcid.org/0000-0002-2312-7042, Mario Dantas, 
orcid.org/0000-0001-5615-1746, Nalvo F Almeida, 
orcid.org/0000-0001-8229-3385, Afonso Paiva, 
orcid.org/0000-0003-2314-5117, Alcides Calsavara, 
orcid.org/0000-0001-8515-0582, Helio Waldman, 
orcid.org/0000-0002-5250-1785, Antonio A. F. Loureiro, 
orcid.org/0000-0002-0527-1083, Renato Vicentini, 
orcid.org/0000-0001-5122-5646, Benilton Carvalho, 
orcid.org/0000-0002-7754-4298, Elisa Yumi Nakagawa, 
orcid.org/0000-0003-1399-7535, Marco Gerosa, 
orcid.org/0000-0002-9671-9313, Francisco Pereira Lobo, 
orcid.org/0000-0002-6750-5965, Laura Sánchez García, 
orcid.org/0000-0002-6560-6965, Eduardo Hideki Tanaka, 
orcid.org/0000-0002-6790-5184, Andre Rauber Du Bois, 
orcid.org/0000-0002-6831-2006, Thiago Noronha, 
orcid.org/0000-0002-7789-3359, Luís Henrique M. K. Costa, 
orcid.org/0000-0002-6972-6913, Joaquim F. Martins Filho, 
orcid.org/0000-0002-7959-6569, Célio Albuquerque, 
orcid.org/0000-0002-8514-8033, Luis Nonato, 
orcid.org/0000-0001-8956-8660, Lisandro Zambenedetti Granville, 
orcid.org/0000-0002-1914-5790, Mario Jino, 
orcid.org/0000-0002-0189-8540, Alexandre Gonçalves Silva, 
orcid.org/0000-0002-5591-3750, Jo Ueyama, 
orcid.org/0000-0003-1574-0362, Cesar Marcondes, 
orcid.org/0000-0002-6399-8790, Ronaldo Hashimoto, 
orcid.org/0000-0002-6625-6047, Caetano Traina Junior, 
orcid.org/0000-0001-5604-1002, A C Moretti, 
orcid.org/0000-0003-4804-5788, Carlos Ferreira, 
orcid.org/0000-0003-0678-4777, Regina Moraes, 
orcid.org/0000-0002-6354-8917, Marcio Seiji Oyamada, 
orcid.org/0000-0003-1752-6255, Mauricio Breternitz, 
orcid.org/0000-0003-3139-6266, Silvia Vergilio, 
orcid.org/0000-0002-9384-8347, Luiz C. V. dos Santos, 
orcid.org/0000-0002-3219-8061, Reginaldo, Jr Palazzo, 
orcid.org/0000-0001-6261-1497, Marcelo Fantinato, 
orcid.org/0000-0003-4262-5474, RONALDO DOS SANTOS MELLO, 
orcid.org/0000-0002-3691-6171, Leonardo Oliveira, 
orcid.org/0000-0003-2823-4725, Marcelo Abbade, 
orcid.org/0000-0002-8856-194X, Ricardo Anido, 
orcid.org/0000-0002-6951-7150, Leo Magalhaes, 
orcid.org/0000-0001-6112-892X, Celmar Guimarães da Silva, 
orcid.org/0000-0002-2972-9423, Nabor Mendonça, 
orcid.org/0000-0002-5178-3661, Reinaldo Bergamaschi, 
orcid.org/0000-0002-3160-3168, Albuquerque, João Porto de, 
orcid.org/0000-0001-9336-9568, Cendes, Fernando, 
orcid.org/0000-0003-2715-6796, Vinod Rebello, 
orcid.org/0000-0002-8225-1107, Philippe R B Devloo, 
orcid.org/0000-0002-2906-3588, Jesse Costa, 
orcid.org/0000-0003-4701-8067, Glauber Ferreira Cintra, 
orcid.org/0000-0001-5489-4909, Luiz Velho, 
orcid.org/0000-0002-9554-1381, Ricardo Machado Leite de Barros, 
orcid.org/0000-0001-9892-740X, Eleri Cardozo, 
orcid.org/0000-0001-9625-5259, Itana Gimenes, 
orcid.org/0000-0002-4961-3428, José C. Geromel, 
orcid.org/0000-0003-4344-1263, Rubens Augusto Camargo Lamparelli, 
orcid.org/0000-0002-5193-8643, Omar Branquinho, 
orcid.org/0000-0002-1733-0087, Antonio Montes Herrera, 
orcid.org/0000-0001-5493-4560, Plinio Vilela, 
orcid.org/0000-0002-8055-0680, Silvia Maria Fonseca Silveira Massruhá, 
orcid.org/0000-0002-6393-0876, Celina Miraglia Herrera de Figueiredo, 
orcid.org/0000-0001-6049-4573, Edgard Jamhour, 
orcid.org/0000-0002-5760-8426, Carlos Ribeiro, 
orcid.org/0000-0001-9669-2352, Carlos Lucena, 
orcid.org/0000-0003-2111-1319, Pardo, T.A.S., 
orcid.org/0000-0002-7561-5582, Luciano Gaspary, 
orcid.org/0000-0002-7860-9575, Edleno Silva de Moura, 
orcid.org/0000-0003-0804-1790, Zenilton Patrocínio Jr, 
orcid.org/0000-0001-9924-0079, Fabio Protti, 
orcid.org/0000-0001-8318-1780, Jose F Rodrigues Jr, 
orcid.org/0000-0002-1941-6036, Marco Antonio Garcia de Carvalho, 
orcid.org/0000-0002-4534-1250, Nicolas Maillard, 
orcid.org/0000-0003-3888-7340, Fabio Kon, 
orcid.org/0000-0001-8002-7075, João Frederico da C. A. Meyer, 
orcid.org/0000-0002-6471-4710, Aurelio Oliveira, 
orcid.org/0000-0002-3897-3356, Nelson Maculan, 
orcid.org/0000-0002-0108-7246, Felipe Moura, 
orcid.org/0000-0002-6871-8428, ester dal poz, 
orcid.org/0000-0002-7941-6281, Renato Fileto, 
orcid.org/0000-0002-4312-202X, Milton Ribeiro, 
orcid.org/0000-0002-2867-4838, Daniel Carlos Guimarães Pedronette, 
orcid.org/0000-0003-1531-7249, Marina Atsumi Oikawa, 
orcid.org/0000-0002-3527-6870, da Silva, FR, 
orcid.org/0000-0002-8405-2152, Juliano Lopes de Oliveira, 
orcid.org/0000-0002-5660-6488, Jose Ferreira de Rezende, 
orcid.org/0000-0002-9206-8138, Jerônimo Pellegrini, 
orcid.org/0000-0003-1273-9809, Hermes Senger, 
orcid.org/0000-0002-5861-4414, ALDRI LUIZ DOS SANTOS, 
orcid.org/0000-0002-8757-4124, Sostenes Lins, 
orcid.org/0000-0001-6471-3462, Edson Norberto Caceres, 
orcid.org/0000-0001-8923-0432, Tomasz Kowaltowski, 
orcid.org/0000-0003-1561-8447, Alberto Ferreira De Souza, 
orcid.org/0000-0002-1163-9980, Liria Sato, 
orcid.org/0000-0002-7270-1477, Ivandré Paraboni, 
orcid.org/0000-0002-4607-9880, Maria Teresa Eglér Mantoan, 
orcid.org/0000-0002-2992-3429, Marcos Borges, 
orcid.org/0000-0002-4888-0778, Regina Braga, 
orcid.org/0000-0002-9318-7956, Antonio Carlos Aloise, 
orcid.org/0000-0001-7598-2799, Gustavo Pinto, 
orcid.org/0000-0001-6994-8076, Thiago Henrique Silva, 
orcid.org/0000-0001-8657-3800, Joel Rodrigues, 
orcid.org/0000-0003-1381-4794, Maycon Sambinelli, 
orcid.org/0000-0002-8429-4119, Aurea Soriano-Vargas, 
orcid.org/0000-0001-9820-6047, TOMMASO ZOPPI, 
orcid.org/0000-0002-3734-7679, Pedro Hokama, 
orcid.org/0000-0001-7509-5532, Jesús P. Mena-Chalco, 
orcid.org/0000-0002-0357-8655, Eduardo Oliveira Freire, 
orcid.org/0000-0001-6928-0168, Marinella Sciortino, 
orcid.org/0000-0003-3765-8300, Allan Pinto, 
orcid.org/0000-0002-0713-0583, Fabrício Silva, 
orcid.org/0000-0003-1214-3431, Hervé Yviquel, 
orcid.org/0000-0001-9319-9829, Levy Boccato, 
orcid.org/0000-0002-1546-3740, Carlos Caetano, 
orcid.org/0000-0003-0499-2564, Marcos M. Raimundo, 
orcid.org/0000-0003-1527-9668, Karol Desnos, 
orcid.org/0000-0002-1287-8019, Paulo Oliveira, 
orcid.org/0000-0001-6465-356X, Luiz Sérgio Carvalho, 
orcid.org/0000-0002-1534-5744, Paula Dornhofer Paro Costa, 
orcid.org/0000-0001-6809-3547, Fabio Viduani Martinez, 
orcid.org/0000-0002-4984-4832, Jaudete Daltio, 
orcid.org/0000-0003-4275-0638, Fabio Basso, 
orcid.org/0000-0002-1277-9336, Hana Rubinsztejn, 
orcid.org/0000-0003-3081-9722, Laura Assis, 
orcid.org/0000-0001-7745-6151, Silva, Emely Pujólli da, 
orcid.org/0000-0003-2223-947X, Oscar Mauricio Caicedo Rendon, 
orcid.org/0000-0001-8585-706X, Wilmar Yesid Campo Muñoz, 
orcid.org/0000-0002-6275-6503, Jéferson Campos Nobre, 
orcid.org/0000-0003-3551-4063, Daniel Panario, 
orcid.org/0000-0001-8597-4987, Ronaldo Prati, 
orcid.org/0000-0003-2440-0247, Guillermo Camara Chavez, 
orcid.org/0000-0002-2961-4044, Romis Attux, 
orcid.org/0000-0002-4851-5228, Maycon Peixoto, 
orcid.org/0000-0001-7637-4293, Filipe de Oliveira Costa, 
orcid.org/0000-0002-9272-3403, Thiago T. Santos, 
orcid.org/0000-0002-3754-9115, Marcelo Reis, 
orcid.org/0000-0001-7718-8142, Guilherme Sanches, 
orcid.org/0000-0002-1156-8270, Jayme Barbedo, 
orcid.org/0000-0001-8793-3185, Juliana Fracarolli, 
orcid.org/0000-0002-5868-6661, Ana Shirley Monteiro da Silva, 
orcid.org/0000-0001-7461-7570, Marjory Da Costa Abreu, 
orcid.org/0000-0002-1095-6714, José Marcos Silva Nogueira, 
orcid.org/0000-0002-3875-2211, Nádia Silva, 
orcid.org/0000-0001-9577-9309, Eduardo Morais, 
orcid.org/0000-0003-0225-5106, Sara D. Cardell, 
orcid.org/0000-0003-0602-6298, Carla Negri Lintzmayer, 
orcid.org/0000-0002-8687-2613, Eduardo Uchoa, 
orcid.org/0000-0001-5715-149X, Rafael Martinelli, 
orcid.org/0000-0002-2836-2009, Mateus Beck Rutzig, 
orcid.org/0000-0002-8385-8859, Luanna Tomaz, 
orcid.org/0000-0001-9176-8709, Kamila Rios da Hora Rodrigues, 
orcid.org/0000-0002-4694-7182, Carla Osthoff, 
orcid.org/0000-0002-0968-5320, Anderson Anjos da Silva, 
orcid.org/0000-0003-1323-0502, Paulo Rosa, 
orcid.org/0000-0002-8781-3914, Rafael Pasquini, 
orcid.org/0000-0003-4971-7355, Daniel Cordeiro, 
orcid.org/0000-0003-4268-9726, Eduardo Lima, 
orcid.org/0000-0002-4711-5783, Claudio R. Jung, 
orcid.org/0000-0003-1303-3760, Hilder Vitor Lima Pereira, 
orcid.org/0000-0001-5159-9517, Fábio Borges, 
orcid.org/0000-0001-5501-9719, Cristiano Arbex Valle, 
orcid.org/0000-0002-9244-9969, Anand Subramanian, 
orcid.org/0000-0003-1707-1887, Celso Cavellucci, 
orcid.org/0000-0003-2982-4006, Rodolfo I. Meneguette, 
orcid.org/0000-0002-9936-3770, A. Venâncio Neto, 
orcid.org/0000-0002-9835-352X, E. F. Arruda, 
orcid.org/0000-0001-6476-4534, Mário César San Felice, 
orcid.org/0000-0002-3094-6847, Nascimento, M. C. V., 
orcid.org/0000-0001-9538-9538, Cristiano Torezzan, 
orcid.org/0000-0003-4808-4904, Jorge Castro-Godínez, 
orcid.org/0000-0001-7434-2642, Santiago Ravelo, 
orcid.org/0000-0001-7048-6585, Jeroen van de Graaf, 
orcid.org/0000-0002-9682-0075, Lourenço Alves Pereira Júnior, 
orcid.org/0000-0001-7309-4528, Anna H Reali Costa, 
orcid.org/0000-0002-7699-8677, P. Feofiloff, 
orcid.org/0000-0002-7618-1405, Cristina D Aguiar, 
orcid.org/0000-0002-2614-2723, Wagner Meira Jr, 
orcid.org/0000-0003-1119-2450, Denis Rosário, 
orcid.org/0000-0003-4523-6466, Heitor S. Ramos, 
orcid.org/0000-0002-7006-1621, Rodrigo Mologni Gonçalves dos Santos, 
orcid.org/0000-0002-8746-1680, Dario Cecilio-Fernandes, 
orcid.org/0000-0001-7266-9211, Marcos Cirne, 
orcid.org/0000-0001-5994-6560, Niederauer Mastelari, 
orcid.org/0000-0001-9097-827X, Reinaldo A. C. Bianchi, 
orcid.org/0000-0002-9393-398X, Adler Souza, 
orcid.org/0000-0002-7519-0502, Paulo Drews-Jr, 
orcid.org/0000-0002-2751-0014, Castro, M.C.F., 
orcid.org/0000-0002-4799-8774, Rosane Minghim, 
orcid.org/0000-0003-2256-4379, Fabiano Reis, 
orcid.org/0000-0002-1404-398X, Lúcio Tunes Santos, 
orcid.org/0000-0003-3052-3016, Roberto Pereira, 
orcid.org/0000-0002-1386-4794, Alex Galoro, 
orcid.org/0000-0002-5824-7087, Ricardo Terra, 
orcid.org/0000-0003-0866-6272, Célio Maschio, 
orcid.org/0000-0003-1720-5080, Guilherme Avansi, 
orcid.org/0000-0001-6172-0229, Teofilo de Campos, 
orcid.org/0000-0001-8785-5906, Ricardo Fukasawa, 
orcid.org/0000-0002-5263-1977, Christiano Lyra Filho, 
orcid.org/0000-0003-2944-4476, Marcos Maximo, 
orcid.org/0000-0002-0689-2703, Eric Rohmer, 
orcid.org/0000-0002-5163-2986, Clarimar Coelho, 
orcid.org/0000-0001-9502-1362, Paulo Sérgio Santos, 
orcid.org/0000-0002-8889-1586, Jefersson A. dos Santos, 
orcid.org/0000-0002-2159-339X, Edna Dias Canedo, 
orcid.org/0000-0003-3551-6480, Sarajane Marques Peres, 
orcid.org/0000-0002-0503-7297, , 
orcid.org/0000-0003-2823-7600, Franklina Toledo, 
orcid.org/0000-0002-5017-8320, Gleyce Figueiredo, 
orcid.org/0000-0001-5804-950X, Alysson Prado, 
orcid.org/0000-0002-1724-9780, Alessandra Davólio Gomes, 
orcid.org/0000-0002-7645-7758, Andre Fioravanti, 
orcid.org/0000-0003-3308-6384, Keiller Nogueira, 
orcid.org/0000-0001-9448-2036, Robson De Grande, 
orcid.org/0000-0002-4187-8798, Rodrigo Luis de Souza da Silva, 
orcid.org/0000-0003-1690-1201, Hugo do Nascimento, 
orcid.org/0000-0002-0236-0689, Eduardo Camponogara, 
orcid.org/0000-0001-6627-7692, Abilio Lucena, 
orcid.org/0000-0001-8175-8320, Laura Bahiense, 
orcid.org/0000-0002-8007-9817, Markus Endler, 
orcid.org/0000-0001-7810-0595, BULGARELI, J V, 
orcid.org/0000-0001-8837-5912, Manoelito Ferreira Silva Junior, 
orcid.org/0000-0001-9584-9477, Cortellazzi, KL, 
orcid.org/0000-0002-0173-4140, César Beltrán Castañón, 
orcid.org/0000-0002-8253-9004, Helena Maia, 
orcid.org/0000-0002-4701-2821, FÁBIO FERRENTINI SAMPAIO, 
orcid.org/0000-0003-2918-9778, Rafaela Batista dos Santos Pedrosa, 
orcid.org/0000-0002-1445-1238, Emanuel Felipe Duarte, 
orcid.org/0000-0001-7714-2283, George D. C. Cavalcanti, 
orcid.org/0000-0001-5929-593X, Pedro Munari, 
orcid.org/0000-0003-0191-582X, Mariza Ferro, 
orcid.org/0000-0002-4424-0888, Marisol Marini, 
orcid.org/0000-0001-9264-5380, Ivani Rodrigues Silva, 
orcid.org/0000-0003-0993-2798, Lais Mais, 
orcid.org/0000-0001-9878-0380, André Constantino da Silva, 
orcid.org/0000-0002-9908-4384, Bruno Cafeo, 
orcid.org/0000-0003-0290-0080, Leonardo Tomazeli Duarte, 
orcid.org/0000-0003-0325-1596, Vagner Santana, 
orcid.org/0000-0001-9504-496X, Ferrucio de Franco Rosa, 
orcid.org/0000-0002-0746-4014, Antonio Tadeu Azevedo Gomes, 
orcid.org/0000-0003-3946-979X, Maicon Melo Alves, 
orcid.org/0000-0001-5110-6639, Antonio Guimarães, 
orcid.org/0000-0002-8786-3313, Fabricio Martins Lopes, 
orcid.org/0000-0002-1927-7398, claudio miceli, 
orcid.org/0000-0002-7418-7918, Roberto Scheffel, 
orcid.org/0000-0002-0517-1496, Gustavo Fraidenraich, 
orcid.org/0000-0002-1884-8830, Flávia Linhalis, 
orcid.org/0000-0002-0876-0501, Thales Sehn Körting, 
orcid.org/0000-0002-8341-8183, Vinicius Mota, 
orcid.org/0000-0003-2956-6326, Faria, Fabio A., 
orcid.org/0000-0002-2894-3911, Samuel Martins, 
orcid.org/0000-0001-9193-2302, Luiz Maciel, 
orcid.org/0000-0003-1781-2630, Leo Sampaio Ferraz Ribeiro, 
orcid.org/0000-0002-2497-9140, Sébastien Marcel, 
orcid.org/0000-0002-3385-5780, Vitomir Štruc, 
orcid.org/0000-0002-5446-114X, Patrick Flynn, 
orcid.org/0000-0003-0087-6806, FLAVIA VASQUES BITTENCOURT, 
orcid.org/0000-0003-0117-9308, AGC Pacheco, 
orcid.org/0000-0002-5233-7639, Solange Rezende, 
orcid.org/0000-0001-9305-5323, Damires Souza, 
orcid.org/0000-0002-2316-760X, Fernando Paulovich, 
orcid.org/0000-0002-5494-319X, Magdala de Araujo Novaes, 
orcid.org/0000-0003-4886-7298, Renato M.E. Sabbatini, 
orcid.org/0000-0001-6342-428X, Albert Ali Salah, 
orcid.org/0000-0001-7412-5250, Lynda Hardman, 
orcid.org/0000-0001-6332-0296, Yannis Velegrakis, 
orcid.org/0000-0001-7093-0244, Camila Duelis Viana, 
orcid.org/0000-0003-1691-6243, Emilson Leite, 
orcid.org/0000-0003-1840-2895, Rodrigo Duran, 
orcid.org/0000-0003-2970-2084, Leandro Galvao, 
orcid.org/0000-0003-4286-5304, Henrique Gaspar, 
orcid.org/0000-0002-4641-0684, Guilherme Palermo Coelho, 
